Date,MW,Temp,hour,day,weekday,month,year
2017-02-01 00:53:00,1419.881,37.0,0,1,2,2,2017
2017-02-01 01:53:00,1379.505,37.0,1,1,2,2,2017
2017-02-01 02:53:00,1366.106,36.0,2,1,2,2,2017
2017-02-01 03:53:00,1364.453,36.0,3,1,2,2,2017
2017-02-01 04:53:00,1391.265,36.0,4,1,2,2,2017
2017-02-01 05:53:00,1477.343,36.0,5,1,2,2,2017
2017-02-01 06:53:00,1585.252,34.0,6,1,2,2,2017
2017-02-01 07:53:00,1671.412,33.0,7,1,2,2,2017
2017-02-01 08:53:00,1708.597,34.0,8,1,2,2,2017
2017-02-01 09:53:00,1713.813,35.0,9,1,2,2,2017
2017-02-01 10:53:00,1741.466,32.0,10,1,2,2,2017
2017-02-01 11:53:00,1724.95,36.0,11,1,2,2,2017
2017-02-01 12:53:00,1718.228,36.0,12,1,2,2,2017
2017-02-01 13:53:00,1718.995,37.0,13,1,2,2,2017
2017-02-01 14:53:00,1705.024,36.0,14,1,2,2,2017
2017-02-01 15:53:00,1675.82,37.0,15,1,2,2,2017
2017-02-01 16:53:00,1691.804,36.0,16,1,2,2,2017
2017-02-01 17:53:00,1750.203,36.0,17,1,2,2,2017
2017-02-01 18:53:00,1773.542,36.0,18,1,2,2,2017
2017-02-01 19:53:00,1729.201,36.0,19,1,2,2,2017
2017-02-01 20:53:00,1710.319,35.0,20,1,2,2,2017
2017-02-01 21:53:00,1644.154,35.0,21,1,2,2,2017
2017-02-01 22:53:00,1550.903,34.0,22,1,2,2,2017
2017-02-01 23:53:00,1474.326,34.0,23,1,2,2,2017
2017-02-02 00:53:00,1422.477,34.0,0,2,3,2,2017
2017-02-02 01:53:00,1385.905,33.0,1,2,3,2,2017
2017-02-02 02:53:00,1370.147,33.0,2,2,3,2,2017
2017-02-02 03:53:00,1365.974,32.0,3,2,3,2,2017
2017-02-02 04:53:00,1400.753,32.0,4,2,3,2,2017
2017-02-02 05:53:00,1470.75,31.0,5,2,3,2,2017
2017-02-02 06:53:00,1604.519,30.0,6,2,3,2,2017
2017-02-02 07:53:00,1692.088,30.0,7,2,3,2,2017
2017-02-02 08:53:00,1708.432,31.0,8,2,3,2,2017
2017-02-02 09:53:00,1722.574,32.0,9,2,3,2,2017
2017-02-02 10:53:00,1727.146,30.0,10,2,3,2,2017
2017-02-02 11:53:00,1742.229,31.0,11,2,3,2,2017
2017-02-02 12:53:00,1725.753,32.0,12,2,3,2,2017
2017-02-02 13:53:00,1697.097,34.0,13,2,3,2,2017
2017-02-02 14:53:00,1676.936,32.0,14,2,3,2,2017
2017-02-02 15:53:00,1661.456,32.0,15,2,3,2,2017
2017-02-02 16:53:00,1657.424,31.0,16,2,3,2,2017
2017-02-02 17:53:00,1723.005,30.0,17,2,3,2,2017
2017-02-02 18:53:00,1797.257,29.0,18,2,3,2,2017
2017-02-02 19:53:00,1779.385,28.0,19,2,3,2,2017
2017-02-02 20:53:00,1759.351,27.0,20,2,3,2,2017
2017-02-02 21:53:00,1710.516,26.0,21,2,3,2,2017
2017-02-02 22:53:00,1619.813,25.0,22,2,3,2,2017
2017-02-02 23:53:00,1533.008,24.0,23,2,3,2,2017
2017-02-03 00:53:00,1483.741,23.0,0,3,4,2,2017
2017-02-03 01:53:00,1450.931,22.0,1,3,4,2,2017
2017-02-03 02:53:00,1439.698,21.0,2,3,4,2,2017
2017-02-03 03:53:00,1455.309,21.0,3,3,4,2,2017
2017-02-03 04:53:00,1489.646,20.0,4,3,4,2,2017
2017-02-03 05:53:00,1573.999,20.0,5,3,4,2,2017
2017-02-03 06:53:00,1690.495,19.0,6,3,4,2,2017
2017-02-03 07:53:00,1781.729,19.0,7,3,4,2,2017
2017-02-03 08:53:00,1801.287,20.0,8,3,4,2,2017
2017-02-03 09:53:00,1815.427,21.0,9,3,4,2,2017
2017-02-03 10:53:00,1825.835,23.0,10,3,4,2,2017
2017-02-03 11:53:00,1795.095,25.0,11,3,4,2,2017
2017-02-03 12:53:00,1788.604,25.0,12,3,4,2,2017
2017-02-03 13:53:00,1790.976,25.0,13,3,4,2,2017
2017-02-03 14:53:00,1776.946,25.0,14,3,4,2,2017
2017-02-03 15:53:00,1770.41,25.0,15,3,4,2,2017
2017-02-03 16:53:00,1777.672,24.0,16,3,4,2,2017
2017-02-03 17:53:00,1798.287,23.0,17,3,4,2,2017
2017-02-03 18:53:00,1844.831,23.0,18,3,4,2,2017
2017-02-03 19:53:00,1835.037,22.0,19,3,4,2,2017
2017-02-03 20:53:00,1772.622,22.0,20,3,4,2,2017
2017-02-03 21:53:00,1743.552,22.0,21,3,4,2,2017
2017-02-03 22:53:00,1669.868,21.0,22,3,4,2,2017
2017-02-03 23:53:00,1581.785,20.0,23,3,4,2,2017
2017-02-04 00:53:00,1538.913,19.0,0,4,5,2,2017
2017-02-04 01:53:00,1508.14,18.0,1,4,5,2,2017
2017-02-04 02:53:00,1485.53,17.0,2,4,5,2,2017
2017-02-04 03:53:00,1488.73,16.0,3,4,5,2,2017
2017-02-04 04:53:00,1491.341,15.0,4,4,5,2,2017
2017-02-04 05:53:00,1539.954,15.0,5,4,5,2,2017
2017-02-04 06:53:00,1586.956,14.0,6,4,5,2,2017
2017-02-04 07:53:00,1638.318,14.0,7,4,5,2,2017
2017-02-04 08:53:00,1664.004,17.0,8,4,5,2,2017
2017-02-04 09:53:00,1670.787,21.0,9,4,5,2,2017
2017-02-04 10:53:00,1690.451,24.0,10,4,5,2,2017
2017-02-04 11:53:00,1683.236,27.0,11,4,5,2,2017
2017-02-04 12:53:00,1649.955,29.0,12,4,5,2,2017
2017-02-04 13:53:00,1613.864,30.0,13,4,5,2,2017
2017-02-04 14:53:00,1588.689,30.0,14,4,5,2,2017
2017-02-04 15:53:00,1603.612,30.0,15,4,5,2,2017
2017-02-04 16:53:00,1606.47,30.0,16,4,5,2,2017
2017-02-04 17:53:00,1655.318,29.0,17,4,5,2,2017
2017-02-04 18:53:00,1731.072,27.0,18,4,5,2,2017
2017-02-04 19:53:00,1698.467,26.0,19,4,5,2,2017
2017-02-04 20:53:00,1692.177,26.0,20,4,5,2,2017
2017-02-04 21:53:00,1633.753,26.0,21,4,5,2,2017
2017-02-04 22:53:00,1574.354,25.0,22,4,5,2,2017
2017-02-04 23:53:00,1493.935,24.0,23,4,5,2,2017
2017-02-05 00:53:00,1421.997,26.0,0,5,6,2,2017
2017-02-05 01:53:00,1399.207,27.0,1,5,6,2,2017
2017-02-05 02:53:00,1373.67,28.0,2,5,6,2,2017
2017-02-05 03:53:00,1391.188,29.0,3,5,6,2,2017
2017-02-05 04:53:00,1390.937,30.0,4,5,6,2,2017
2017-02-05 05:53:00,1397.245,32.0,5,5,6,2,2017
2017-02-05 06:53:00,1407.286,33.0,6,5,6,2,2017
2017-02-05 07:53:00,1447.919,34.0,7,5,6,2,2017
2017-02-05 08:53:00,1482.187,36.0,8,5,6,2,2017
2017-02-05 09:53:00,1535.347,37.0,9,5,6,2,2017
2017-02-05 10:53:00,1554.391,37.0,10,5,6,2,2017
2017-02-05 11:53:00,1565.838,37.0,11,5,6,2,2017
2017-02-05 12:53:00,1545.504,41.0,12,5,6,2,2017
2017-02-05 13:53:00,1530.494,42.0,13,5,6,2,2017
2017-02-05 14:53:00,1527.686,44.0,14,5,6,2,2017
2017-02-05 15:53:00,1533.511,44.0,15,5,6,2,2017
2017-02-05 16:53:00,1553.914,45.0,16,5,6,2,2017
2017-02-05 17:53:00,1607.422,44.0,17,5,6,2,2017
